"#","Name","Atoll","Island","Rooms","Beds","Phone","Fax","Email","Resort Phone","Resort Fax","Resort Email","Operator","Owner/Lesse","Management","State"
"1","Aanugandu Island Resort","Kaafu","Aanugan'du Finolhu and Aanugan'du Huraa","384","768","3339992","","shrikant@atmospherehotelsandresorts.com","4000022","4000022","info@ailafushi@colorsofoblu.com","Promonant Pvt Ltd 
H. Aage, 6th Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Aqua Blue Investments Pvt Ltd 
M. Mirihimaage
3A, Kulhidhoshumagu
Male', Republic of Maldives","Atmosphere Core (BVI) Ltd 
H. Aage, 3rd Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
"118","Nova Maldives","Alifu Dhaalu","Vakarufalhi","57","114","7908835","","afzam.zuhury@reollo.com","7261212","7261212","hello@nova-maldives.com","Nova Resorts Pvt Ltd 
4th Floor , M. Kaneeru Villa
Orchid Magu
Male', Republic of Maldives","Athama Travels and Trade Pvt. Ltd. 
G. Dhivehi Atha
Majeedhee Magu
Male', Republic of Maldives","","Operating"
"119","Oaga Art Resort","Kaafu","Maaranfushi","62","124","3342737","","info@oagaresorts.com, info@radhun-resorts.com","3316242","3316242","info@oagaresorts.com, info@radhun-resorts.com","Radhun Resort and Investments Private Limited 
H. Ranrinbudhoo
Ameer Ahmed Magu
Male’, Republic of Maldives","Radhun Resort and Investments Private Limited 
H. Ranrinbudhoo
Ameer Ahmed Magu
Male’, Republic of Maldives","","Not Operating"
"120","Oblu By Atmosphere at Helengeli","Kaafu","Helengeli","176","352","3339992","3339998","fc@oblu-helengeli.com","4000077","4000077","sales.helengeli@coloursofoblu.com/ https://oblunaturehelengeli.com-maldives.com/en/","S.P.C Pvt Ltd 
(East Wing) Aage, 2nd Floor
12 Boduthakurufaanu Magu
Male, Rep. of Maldives","Helengeli Island Resort Pvt Ltd 
H.Orchid Maage  
Ameer Ahmed Magu
Male', Rep. of Maldives","","Operating"
"121","Oblu Select by Atmosphere at Sangeli","Kaafu","Akirifushi","114","288","3339992","3339998","info@eonresorts.com

shrikant@atmospherehotelsandresorts.com","400 4501","","sales@oblu-sangeli.com","North East Pvt Ltd 
H. Aage, 3rd Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Akirifushi Investments Pvt Ltd 
Ma. Milano, 2nd Floor
Rahdhebai Magu
Male', Republic of Maldives","","Operating"
"122","One & Only Reethi Rah, Maldives","Kaafu","Medhufinolhu","134","268","3310550","3310660","reservations@oneandonlyreethirah.com","6648800","6648800","reservations@oneandonlyreethirah.com","Reethi Rah Resort Pvt. Ltd.
1st Floor, Fasmeeru Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Reethi Rah Resort Pvt. Ltd.
1st Floor, Fasmeeru Building
Boduthakurufaanu Magu
Male', Republic of Maldives","One & Only (Indian Ocean) Management Ltd.
1st Floor, Fasmeeru building 
Boduthakurufaanu magu
Male', Republic of Maldives","Operating"
"123","Outrigger Maldives Maafushivaru Resort","Alifu Dhaalu","Maafushivaru","93","186","7770948","Website: https://www.outrigger.com/","juni@sandalawyers.com","6680001","6680001","maldives.maafushivaru@outrigger.com","OM Maldives Pvt Ltd 
#02-01 Millennia Tower
Ameer Ahmed Magu
Male', Republic of Maldives","OM Maldives Pvt Ltd 
#02-01 Millennia Tower
Ameer Ahmed Magu
Male', Republic of Maldives","OGHM Private Limited 
H. #04-01 Millenia Tower
Ameer Ahmed Magu
Male', Republic of Maldives","Operating"
"124","Ozen By Atmosphere At Maadhoo","Kaafu","Maadhoo","107","214","3339992","3339998","shrikant@atmospherehotelsandresorts.com","400 2222","400 2222","reservations@ozen-maadhoo.com.","D.P.C Private Limited 
H.Aage, 3rd Floor
12, Boduthakurufaanu Magu
Male', Rep. of Maldives","M.T.R Holdings Pvt Ltd 
Premier Chambers
M. Lux Lodge, 02nd Floor
Orchid Magu
Male', Rep. of Maldives","Atmosphere Core Pte Ltd 
H. Aage, 03rd Floor
12, Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
"125","Park Hyatt Maldives Hadahaa","Gaafu Alifu","Hadahaa","56","112","3313388","331 6783","info@driftwoodmaldives.com","6821234","6821234","maldives.parkhadahaa@hyatt.com | Website: www.hyatt.com","Driftwood Maldives Pvt.Ltd.
M. Vaarey Villa
Izzudeen Magu
Male', Republic of Maldives","Driftwood Maldives Pvt.Ltd.
M. Vaarey Villa
Izzudeen Magu
Male', Republic of Maldives","Hyatt International - South West Asia Ltd (FC), 
Al Kifaf Building, 27th Floor,
Zabeel Area, PO Box 506727,
Dubai, United Arab Emirates","Operating"
"126","Patina Maldives, Fari Islands","Kaafu","Fari Veli Huraa","123","246","7846861","","marco.denouden@patinahotels.com / chris.chuah@mesarf.com","4000555","4000555","reservations.maldives@patinahotels.com","Tomlinson Investment Pvt Ltd
H. Millenia Tower, #02-01
10 Ameer Ahmed Magu
Male', Republic of Maldives","MESA RF Pvt Ltd 
M. Faaroshige, Level 2
Orchid Magu 
Male', Republic of Maldives","Capella Hotel Group Management (Maldives) Pvt Ltd 
H. Millenia Tower, #02-01
10 Ameer Ahmed Magu
Male', Republic of Maldives","Operating"
"127","Pullman Maldives Maamutaa Resort","Gaafu Alifu","Maamutaa","136","271","3333887","3011699","erah@keonghong.com","6820909","6820909","H9924@accor.com","Pristine Islands Investment (Maldives)Pvt Ltd 
G. Alhifashuviaage, 3rd floor, Dharumavantha Magu, 
Male', Republic of Maldives","Pristine Islands Investment (Maldives) Pvt Ltd
G. Alhifashuviaage, 3rd floor,
Dharumavantha Magu,
Male', Republic of Maldives","AAPC (Maldives) Private Limited 
C/O H. Shah, Hussain & Co. Barristers and Attorneys, 6th Floor, Aage, 12 Boduthakurufaanu Magu,
Male', Republic of Maldives","Operating"
"128","Raaya by Atmosphere","Raa","Kudakurathu","200","400","7902612 / 77777242","","mohdhussainf@gmail.com","4001400","4001400","raaya@amari.com","Kudakurathu Island Resort Pvt Ltd
Ma. Dawn Shine
Zamaanee Goalhi
Male', Republic of Maldives","Kudakurathu Island Resort Pvt Ltd
Ma. Dawn Shine
Zamaanee Goalhi
Male', Republic of Maldives","Atmosphere Core Pvt Ltd 
H. Aage, 6th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
"129","Radisson Blu Resort Maldives","Alifu Dhaalu","Huruelhi","160","320","9151593","3310940","james.wong@changhua.com.sg","9151593","9151593","james.wong@changhua.com.sg / eunice.tan@carlsonrezidor.com","Huruelhi Investment Pvt Ltd 
M. Faamudheyrige, 6A, 
Orchid Magu, 
Male', Republic of Maldives","Huruelhi Investment Pvt Ltd 
M. Faamudheyrige, 6A, 
Orchid Magu, 
Male', Republic of Maldives","","Operating"
"130","Rah Gili Maldives","Kaafu","Mahaana elhi Huraa","42","84","9330339","Website: https://rahgili.com/","harish@dhonmaaga.com","+960 401 4001","+960 401 4001","marketing@rahgili.com","BeachX Pvt Ltd 
H. Aage, 3rd Floor,
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Maahal Tours Pvt Ltd 
Ma. Thandinoomaage, Ground Floor, 
Badifasgandu Magu, 
Male', Republic of Maldives","-","Operating"
"131","Rahaa Resort","Laamu","Kudafares and Fares","81","162","6800044
7428005","","info@rahaaresort.com
ismail@rahaaresort.com","","","rahaa@rahaaresort.com","MO Hotels and Resorts Pvt Ltd 
M. Gulhazaaruge 
Fareedhee Magu 
Male', Republic of Maldives","Heavy Load Maldives Pvt Ltd 
M. Gulhazaaruge 
Fareedhee Magu 
Male', Republic of Maldives","","Operating"
"132","Reethi Faru Resort","Raa","Filaidhoo","164","328","3312626","4004445","shihab@reethifaru.com","400-4000","400-4000","inquiry@reethifaru.com","Mahogany Pvt Ltd 
H. Maadhooge, 1st Floor
Karankaa Magu
Male', Republic of Maldives","Mahogany Pvt Ltd 
H. Maadhooge, 1st Floor
Karankaa Magu
Male', Republic of Maldives","","Operating"
"133","Riu Atoll and Riu Palace Maldivas","Dhaalu","Maafushi and Kedhigandu","440","880","3333644","3315453","dheena@shclawyers.com","3333644","3315453","pfernandezb@riu.com","Riu Atoll Pvt. Ltd. 
Shah, Hussain & Co. Barristers and Attorneys 
6th Floor, H. Aagé
12 Boduthakurufaanu Magu, 
Male', Republic of Maldives","Riu Atoll Pvt. Ltd. 
Shah, Hussain & Co. Barristers and Attorneys 
6th Floor, H. Aagé
12 Boduthakurufaanu Magu, 
Male', Republic of Maldives","","Operating"
"134","Robinson Maldives","Gaafu Alifu","Funamauddua","124","248","7970051","-","Monalisa.Roy@robinson.com","6820000","6820000","Reservation.Maldives@robinson.com / maldives@robinson.com","Robinson Club Maldives Pvt Ltd 
H. Maaram Building, 5th Floor, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Robinson Club Maldives Pvt Ltd 
H. Maaram Building, 5th Floor, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","-","Operating"
"135","Robinson Noonu","Noonu","Orivaru","150","300","3009095","4004445","officemanager.maldives@robinson.com bjoern.thuemmel@robinson.com","4004444","4004445","noonu@robinson.com","Robinsion Club Maldives Pvt Ltd 
H. Maaram, 5th Floor
Ameer Ahmed Magu
Male', Republic of Maldives","Robinsion Club Maldives Pvt Ltd
H. Maaram, 5th Floor
Ameer Ahmed Magu
Male', Republic of Maldives","","Operating"
"136","Royal Island Resort and Spa","Baa","Horubadhoo","152","304","332 5195","332 5177
6600088","info@villa.com.mv","660 0088","660 0088","bookings@royal-island.com.mv","Villa Shipping and Trading Company Pvt Ltd 
Villa Building
Ibrahim Hassan Didi Magu
Male', Republic of Maldives","Island Travel and Trade Pvt. Ltd
Villa Building
Ibrahim Hassan Didi Magu
Male', Republic of Maldives","","Operating"
"137","Saii Lagoon Maldives","Kaafu","Eh'mafushi","170","340","+9606651300","","rsvn.lagoon@SAiiresorts.com","6651300","6651300","info.lagoon@saiiresorts.com","Dream Islands Development 2 Pvt. Ltd. 
H. #02-01, Millennia Tower, 10 Ameer Ahmed Magu, Male', Republic of Maldives","Dream Islands Development 2 Pvt. Ltd. 
H. #02-01, Millennia Tower, 10 Ameer Ahmed Magu, Male', Republic of Maldives","","Operating"
"138","Sandies Bathala","Alifu Alifu","Bathala","70","140","7905040","","resmg.thudufushi@diamonds-resorts.com","4002400","-","info.bathala@sandies-resorts.com","Away Hotels Maldives Pvt. Ltd. 
M. Veeza 
Dhambu Goalhi 20190
Male’, Republic of Maldives","B Resorts Investment Pvt. Ltd. 
G. Neem Building, 3rd Floor
Majeedhee Magu
Male’, Republic of Maldives","-","Operating"
"139","Shangri-la Villingili Maldives","Seenu","Villingili","11","22","3321378","Website: www.shangri-la.com/male/villingiliresort/","slmd@shangri-la.com","6897888","6897888","slmd@shangri-la.com","Addu Investments Pvt Ltd 
Ma. No. 379, 
Male', Kaafu Atoll, 
Republic of Maldives","Addu Investments Pvt Ltd 
Ma. No. 379, 
Male', Kaafu Atoll, 
Republic of Maldives","","Operating"
"140","Sheraton Maldives Full Moon Resort & Spa","Kaafu","Furanafushi","176","352","7931698","","vijay.kumar@marriott.com","6642010","6642010","sheraton.maldives@sheraton.com","Manta Resort Holdings II Pvt. Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu 20026
Male', Republic of Maldives","Manta Resort Holdings II Pvt. Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu 20026
Male', Republic of Maldives","Marriott Hotels Maldives Pvt Ltd
H. #04-01, Millennia Tower
10 Ameer Ahmed Magu 20026
Male', Republic of Maldives","Operating"
"141","Sirru Fen Fushi","Shaviyani","Gaakoshibee","149","298","6548888 / 3013200","","shahdy@suoodanwar.com","6548888 / 3013200","","mld.reservations.maldives@fairmont.com /","GBH Maldives Resorts Pvt Ltd 
#02-01, H.Millenia Tower
10 Ameeru Ahmed Magu
Male', Republic of Maldives","GBH Maldives Resorts Pvt Ltd 
#02-01, H.Millenia Tower
10 Ameeru Ahmed Magu
Male', Republic of Maldives","","Operating"
"142","Six Senses Kanuhura","Lhaviyani","Kanuhuraa","96","192","7786424","","mohamed.riza@sixsenses.com","6620044","6620044","info@sixsenses.com / http://www.sixsenses.com/","Leisure Oceans Pvt Ltd 
H. Millenia Tower
 Ameer Ahmed Magu
 Male’, Republic of Maldives","Leisure Oceans Pvt Ltd 
H. Millenia Tower
 Ameer Ahmed Magu
 Male’, Republic of Maldives","Sustainable Luxury Maldives Pvt Ltd 
M. Lux Lodge
 Orchid Magu 2013
Male’, Republic of Maldives","Operating"
"143","Six Senses Laamu","Laamu","Olhuveli","99","198","301 3200","","shahdy@suoodanwar.com
may.anchoriz@sixsenses.com","680 0800","","reservations-laamu@sixsenses.com"," Leisure Frontiers Pvt. Ltd
 H.#02-01, Millenia Tower
 10, Ameeru Ahmed Magu
 Male', Rep of Maldives","Leisure Frontiers Pvt. Ltd
 H.#02-01, Millenia Tower
 10, Ameeru Ahmed Magu
 Male', Rep of Maldives","","Operating"
"144","Siyam World Maldives","Noonu","Dhigurah","530","1060","3325977","","info@siyamworld.com","6567777","","sales@siyamworld.com / stay@siyamworld.com","Wego Maldives Pvt Ltd 
H. Sun Siyam Building 
Boduthakurufaanu Magu 
Male', Republic of Maldives","Wego Pvt Ltd
H. Sun Siyam Building 
Boduthakurufaanu Magu 
Male', Republic of Maldives","","Operating"
"145","SO/ Maldives","Kaafu","4° 7’ 24.562” N, 73° 28’ 52.015” E","93","186","6649100","-","jespersoerense@so-hotels.com 
https://so-hotels.com/","","","SO.Maldives@so-hotels.com","Dream Islands Development 3 Pvt Ltd
H. Millenia Tower, #02-0110 
Ameer Ahmed Magu
Male', Republic of Maldives","Dream Islands Development 2 Pvt Ltd
H. Millenia Tower, #02-0110 
Ameer Ahmed Magu
Male', Republic of Maldives","","Operating"
"146","Soneva Fushi Resort","Baa","Kunfunadhoo","176","352","3017201","","mgr-male@soneva.com","660 0304","660 0304","mail@soneva.com","Soneva Management (BVI) Limited
Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Bunny Holdings (BVI) Ltd.
Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Soneva Management (BVI) Limited
Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
"147","Soneva Jani","Noonu","Medhufaru","98","196","6600304
3326686","6600374","patrickm@soneva.com","656 6666","656 6666","reservations@soneva.com","Hillside Villa Pvt Ltd 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Maldives","Hillside Villa Pvt Ltd 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Maldives","Soneva Management (BVI) Ltd. 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Repubic of Maldives","Operating"
"148","Soneva Secret","Haa Dhaalu","Dhipparufushi","30","60","7792656","-","mgr-male@soneva.com","4010000","4010000","reservations@soneva.com","Secret Venture Pvt Ltd 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Secret Venture Pvt Ltd 
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Soneva Management (BVI) Ltd (FC)
H. Jazeera Building, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldiv","Operating"
"149","South Palm Resort Maldives","Seenu","Ismehelahera Kedevaahera","130","260","6890010","","reservations@southpalmresort.com","6890009","6890009","reservations@southpalmresort.com","South Palm Maldives Pvt Ltd 
Keytha 
Feydhoo, Seenu Atoll
Republic of Maldives","South Palm Maldives Pvt Ltd 
Keytha 
Feydhoo, Seenu Atoll
Republic of Maldives","","Operating"
"150","Summer Island Maldives","Kaafu","Ziyaaraiyfushi","157","314","3322212
3318005","3318057","reservations@summerislandmaldives.com","664 1949","664 1949","reservations@summerislandmaldives.com","Kaimoo Travels and Hotel Services Pvt. Ltd.
H. Maagala
Meheli Goalhi
Male', Republic of Maldives","Ziyaraiy Maldives Pvt. Ltd. 
M. Nooranee Aage 
Ameer Ahmed Magu
Male', Republic of Maldives","-","Operating"
"151","Sun Siyam Iru Fushi Maldives","Noonu","Medhafushi","224","448","3325977","3333897/
332 0419","info@sunsiyam.com","6560591","6560591","ecommerce.irufushi@sunsiyam.com","Sun Travels & Tours Pvt Ltd
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Sun Travels & Tours Pvt Ltd
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Iru Hotels & Resorts Pvt Ltd,
H. Sun Siyam Building, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Operating"
"152","Sun Siyam Iru Veli Maldives","Dhaalu","Aluvifushi","127","254","3325977","3333897","info@sunsiyam.cm","6760022","6760022","rsvn.iruveli@sunaqua.com","Ocean Islands Pvt Ltd 
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Ocean Islands Pvt Ltd 
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldivesmaldives.com.mv","","Operating"
"153","Sun Siyam Olhuveli Maldives","Kaafu","Olhuveli","460","920","3325977","3333897","info@sunsiyam.com","6642788","6642788","customercare@olhuvelimaldives.com","Emerald Resort Pvt. Ltd. 
H. Sun Siyam Building, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Hotels and Resorts Holding Pvt. Ltd. 
H. Sun Siyam Building, 
Boduthakurufaanu Magu,
Male', Republic of Maldives","-","Operating"
"154","Sun Siyam Vilu Reef Maldives","Dhaalu","Meedhuffushi","104","208","3329110","3333897","admin@suntravelmaldives.com.mv","6760011","6760011","ecommerce.vilureef@sunsiyam.com","Sun Investments Pvt. Ltd. 
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives","Sun Investments Pvt. Ltd. 
H. Sun Siyam Building
Boduthakurufaanu Magu
Male', Republic of Maldives","-","Operating"
"155","Taj Coral Reef Resort and Spa","Kaafu","Hembadhu","64","128","3317530","3314059","tajmale@dhivehinet.net.mv","664-1948","","tajcoralreef@tajhotels.com","Tal Maldives Resorts Pvt. Ltd.
(Taj Group of Hotels, India)
G. Maajehige, 1st Floor
Lily Magu
Male', Republic of Maldives
","Tal Maldives Resorts Pvt. Ltd.
(Taj Group of Hotels, India)
G. Maajehige, 1st Floor
Lily Magu
Male', Republic of Maldives
tajmale@dhivehinet.net.mv","","Operating"
"156","Taj Exotica Resort & Spa Maldives","Kaafu","Embudhu Finolhu","67","134","3317530","","exotica.maldives@tajhotels.com","400600","400600","exotica.maldives@tajhotels.com","TAL Maldives Resorts Pvt. Ltd 
H. Sifa, 4th Floor B
Boduthakurufaanu Magu
Male', Republic of Maldives","Hima Holdings Pvt Ltd
2/44 Orchid Magu
Male', Republic of Maldives","","Operating"
"157","The Halcyon Private Isles Maldives Autograph Collection","Gaafu Alifu","Meradhoo","50","100","6828800/","-","reservations@thehalcyonmaldives.com","6828800","-","reservations@thehalcyonmaldives.com","CDL HBT Oceanic Maldives Pvt Ltd 
H. Millennia Tower, #02-01, 10 Ameer Ahmed Magu 20026, 
Male', Republic of Maldives","CDLHT Oceanic Maldives Pvt Ltd 
H. Millennia Tower, #02-01, 10 Ameer Ahmed Magu 20026, 
Male', Republic of Maldives","Apara Hotel Management Maldives Pvt Ltd,
H. Millennia Tower, #02-01, 10
Ameer Ahmed Magu, 
Male', Republic of Maldives","Operating"
"158","The Nautilus Maldives","Baa","Thiladhoo","31","62","6600000","6600001","akheel.muhsin@reollo.com / althaf@thenautilusmaldives.com","6600000","6600000","hello@thenautilusmaldives.com","Thiladhoo Resorts Pvt Ltd
M. Sakkeyogasdhoshuge, 
Fiyaathoshi Magu, 
Male', Republic of Maldives","Thiladhoo Resorts Pvt Ltd
M. Sakkeyogasdhoshuge, 
Fiyaathoshi Magu, 
Male', Republic of Maldives","","Operating"
"159","The Residence Maldives","Gaafu Alifu","Falhumaafushi","100","200","682-0088","330 9041","msundaram@theresidence.com","682-0088","","msundaram@theresidence.com","Bonaventure (Maldives) Pvt. Ltd
Ma. Malaaz
Huvandhuma Goalhi 
Male', Republic of Maldives","Bonaventure (Maldives) Pvt. Ltd
Ma. Malaaz
Huvandhuma Goalhi 
Male', Republic of Maldives","","Operating"
"160","The Residence Maldives At Dhigurah","Gaafu Alifu","Dhigurah","185","370","6820088","","chpl@dhinet.net.mv","6820088","6820088","chpl@dhinet.net.mv","Bonavista (Maldives) Pvt Ltd 
Ma. Malaaz, 
Huvandhumaa Goalhi, 
Male, Republic of Maldives","Bonavista (Maldives) Pvt Ltd 
Ma. Malaaz, 
Huvandhumaa Goalhi, 
Male, Republic of Maldives","","Operating"
"161","The Ritz Carlton Maldives Fari Islands","Kaafu","Fari Kandu Huraa","117","234","7797779","-","shahdy@sandalawyers.com","4000999","4000999","maldives.reservations@ritzcarlton.com","CPRC (Maldives) Pvt Ltd 
H. Millenia Tower, #02-01,
10 Ameer Ahmed Magu,
Male', Republic of Maldives","MESA RF Pvt Ltd 
M. Faaroshige, Level 2
Orchid Magu 
Male', Republic of Maldives","Marriot Hotels Maldives Pvt Ltd
H. Millenia Tower, #04-01
10 Ameer Ahmed Magu
Male', Republic of Maldives","Operating"
"162","The St. Regis Vommuli Resort, Maldives","Dhaalu","Vommuli","95","190","9946464","","sascapital@theresidency.com","6763636","6763636","sascapital@theresidency.com","SAS Capital Private Limited 
6A, M. Faamdheyrige
Orchid Magu
Male', Republic of Maldives","SAS Capital Private Limited 
6A, M. Faamdheyrige
Orchid Magu, 
Male', Republic of Maldives","Starwood Asia Pacific Hotels and Resorts Pte Ltd 
06 Temasek Boulevard
#04-01 Suntee Tower Four
Singapore 038986","Operating"
"163","The Standard Huruvalhi Maldives","Raa","Huruvalhi","122","244","","","","658 5555","658 5555","mv.reservations@standardhotels.com","Snapper Blue Investments Pvt Ltd
H. Millennia Tower, 10, #02-01, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Snapper Blue Investments Pvt Ltd
H. Millennia Tower, 10, #02-01, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Standard Asia Co. Ltd. 
No. 59, Rimklong Phrakanong Alley, 
Phrakanong Nua Sub-District, Wattana District, 
Bangkok, Thailand","Operating"
"164","The Westin Maldives Miriandhoo Resort","Baa","Miriandhoo","73","146","7991100","","majdee.imad@alohamaldives.com","660-4444","660-4444","mlewi.reservation@westinhotels.com","Miriandhoo Maldives Resorts Pvt Ltd
M. Whale Shark, 2nd Floor
Aaburuzu Hingun
Male', Republic of Maldives","Miriandhoo Maldives Resorts Pvt Ltd
M. Whale Shark, 2nd Floor
Aaburuzu Hingun
Male', Republic of Maldives","Starwood Asia Pacific Hotels and Resorts Pte Ltd
02 Harbour Front, Bank of America 
Merril Lynch, #06-08, Singapore 098499","Operating"
"165","Thulhagiri Island Resort & Spa","Kaafu","Thulhaagiri","87","174","3313523","3313522","hr@thulhagiri.com.mv","6645930","6645930","reserve@thulhagiri.com.mv","Angiri Resorts Management & Operations Pvt. Ltd.
M. New Plot
Ameenee Magu
Male', Republic of Maldives","Thulhaagiri Development Pvt. Ltd.
M. New Plot
Ameenee Magu
Male', Republic of Maldives","-","Operating"
"166","V Villas Maldives at Mirihi-Mgallery Collection","Alifu Dhaalu","Mirihi","38","76","7773152","-","zayan@salihshihab.co","6680500","6680500","info@mirihi.com","Vie Maldives Pvt Ltd 
M. Marina Building, Level 7, 
Koliumaru Maniku Goalhi, 
Male', Republic of Maldives","Vie Maldives Pvt Ltd 
M. Marina Building, Level 7, 
Koliumaru Maniku Goalhi, 
Male', Republic of Maldives","Accor Luxury Maldives Pvt Ltd
H. Aage, 6th floor, 12 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Operating"
"167","Vakkaru Maldives","Baa","Vakkaru","128","256","7777222","","6699sato@gmail.com","660 7000","660 7000","info@vakkarumaldives.com","Efzy Holdings Pvt Ltd 
H. Millennium
Lansimoo Goalhi
Male', Republic of Maldives","Efzy Holdings Pvt Ltd
H. Millennium
Lansimoo Goalhi
Male', Republic of Maldives","","Operating"
"168","Varu Island Resort","Kaafu","Madivaru","125","250","3333000","3333713","imran.ali@shuaz.mv","400700","400700","imran.ali@shuaz.mv","Shuaz Investment Pvt Ltd 
M. Shuaz 
Orchid Magu 
Male', Republic of Maldives","Dhonkeyo Investments Pvt Ltd
Ma. Seeraazeege 
Seeraazee Goalhi
Male', Republic of Maldives","Prospect Pvt Ltd 
H. Aage (6th Floor) 
Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
"169","Velaa Private Island Maldives","Noonu","Fushivelaavaru","67","134","3010011","301 0022","Mohamed.Mausoom@velaaisland.com","6565000","6565000","info@velaaprivateisland.com","Velaa Island Maldives Pvt Ltd 
M. Uniya, 4th Floor
Fareedhee Magu, 
Male', Republic of Maldives","Velaa Asset Management Pvt Ltd 
M. Kaneeru Villa, 6th Floor
Orchid Magu 2012, 
Male', Republic of Maldives","","Operating"
"170","Veligandu Maldives Resort Island","Alifu Alifu","Veligan'du","100","200","3322432","3324009","info@crowncompany.com","666 0519","666 0519","reservations@veligandu.com","Crown Company Pvt. Ltd. 
Fasmeeru Building, 6th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Crown Company Pvt. Ltd. 
Fasmeeru Building, 6th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","-","Operating"
"171","Vilamendhoo Island Resort","Alifu Dhaalu","Vilamendhoo","184","368","3314149
7983342","","cfo@champaresorts.com","","","","Vilamendhoo Investments Pvt. Ltd.
Champa Building, 3rd Floor
Kandidhon Manik Goalhi
Male', Republic of Maldives","Vilamendhoo Investments Pvt. Ltd.
Champa Building, 3rd Floor
Kandidhon Manik Goalhi
Male', Republic of Maldives","","Operating"
"172","Villa Nautica Paradise Island","Kaafu","Lankanfinolhu","284","568","3344777","3325177","info@villa.com.mv","3316161","3316161","hello@villaresorts.com","Villa Shipping & Trading Company Pvt.Ltd.
(on behalf of Diza Trade & Travels Pvt. Ltd.)
Villa Building, Ibrahim Hassan Didi Magu
Male', Republic of Maldives","Diza Travel & Trade Pvt. Ltd.
Villa Building, Ibrahim Hassan Didi Magu
Male', Republic of Maldives
info@villa.com.mv","","Operating"
"173","Villa Park Sun Island","Alifu Dhaalu","Nalaguraidhoo","466","932","3325195","3325177","info@villa.com.mv","668 0099","668 0099","reservations@sun-island.com.mv","Villa Shipping & Trading Company Pvt Ltd
M. Villa Building, 
Ibrahim Hassan Didi Magu, 
Male', Republic of Maldives","Villa Shipping & Trading Company Pvt Ltd 
M. Villa Building, 
Ibrahim Hassan Didi Magu, 
Male', Republic of Maldives","-","Operating"
"174","W Maldives","Alifu Alifu","Fesdhoo","79","158","7797779","-","shahdy@sandalawyers.com","6662222","6662222","wmaldives.welcome@whotels.com","Manta Resort Holdings I Pvt Ltd
H. #02-01, Millennia Tower 10, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Manta Resort Holdings I Pvt Ltd
H. #02-01, Millennia Tower 10, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Marriott Hotels Maldives Private Limited
H. #04-01, Millennia Tower 10, 
Ameer Ahmed Magu, 
Male', Republic of Maldives

Website: https://www.marriott.com/en-us/hotels/mlewh-w-maldives/","Operating"
"175","Waldorf Astoria Maldives Ithaafushi","Kaafu","Ithaafushi","136","272","3325602","3325601","suzan@hotelresortsconstruction.com","4000300","4000300","etienne.dalancon@waldorfastoria,com","Ithaafushi Investments Pvt. Ltd. 
H. Sea Side, Level One, 
Boduthakurufaanu Magu
Male', Republic of Maldives","Ithaafushi Investments Pvt. Ltd.
H. Sea Side, Level One, 
Boduthakurufaanu Magu
Male', Republic of Maldives","","Operating"
